Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1620     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*, unsigned long)
  0.00      0.00     0.00     1620     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool> std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::emplace<std::pair<unsigned int, session_value> >(std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::enable_if<std::is_constructible<std::pair<unsigned int const, session_value>, std::pair<unsigned int, session_value>&&>::value, std::pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool> >::type std::unordered_map<unsigned int, session_value, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, session_value> > >::insert<std::pair<unsigned int, session_value> >(std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pointer_traits<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*>::pointer_to(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>&)
  0.00      0.00     0.00     1620     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::deallocate(std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >&, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*, unsigned long)
  0.00      0.00     0.00     1620     0.00     0.00  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::destroy<std::pair<unsigned int const, session_value> >(std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >&, std::pair<unsigned int const, session_value>*)
  0.00      0.00     0.00     1620     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::allocate(std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >&, unsigned long)
  0.00      0.00     0.00     1620     0.00     0.00  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::construct<std::pair<unsigned int const, session_value>, std::pair<unsigned int, session_value> >(std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >&, std::pair<unsigned int const, session_value>*, std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<unsigned int const, session_value>::pair<unsigned int, session_value, true>(std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool>::pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool, true>(std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>&&, bool&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<unsigned int, session_value>::pair<unsigned int&, session_value&, true>(unsigned int&, session_value&)
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>::_Hash_node()
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::_M_allocate_node<std::pair<unsigned int, session_value> >(std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::_M_deallocate_node(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned int const, session_value> >::_Hash_node_value_base()
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>* std::__addressof<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>&)
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>* std::__to_address<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00     1620     0.00     0.00  session_value&& std::forward<session_value>(std::remove_reference<session_value>::type&)
  0.00      0.00     0.00     1620     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>* std::addressof<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<std::__decay_and_strip<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false> >::__type, std::__decay_and_strip<bool>::__type> std::make_pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool>(std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>&&, bool&&)
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<std::__decay_and_strip<unsigned int&>::__type, std::__decay_and_strip<session_value&>::__type> std::make_pair<unsigned int&, session_value&>(unsigned int&, session_value&)
  0.00      0.00     0.00     1451     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_get_previous_node(unsigned long, std::__detail::_Hash_node_base*)
